order_id,order_date,order_time,pizza_name,pizza_category,size,quantity,unit_price,total_price,store_location,delivery_type
D-1001,2024-09-17,12:15 PM,Margherita,Classic,Medium,2,11.99,23.98,Downtown,Delivery
D-1002,2024-09-17,12:22 PM,Pepperoni,Classic,Large,1,14.99,14.99,Suburbs-West,Pickup
D-1003,2024-09-17,12:45 PM,Veggie Paradise,Veg,Small,1,9.99,9.99,Downtown,Delivery
D-1004,2024-09-17,13:10 PM,BBQ Chicken,Non-Veg,Large,3,16.99,50.97,City Center,Delivery
D-1005,2024-09-17,13:30 PM,Farmhouse,Veg,Medium,1,13.99,13.99,Suburbs-East,Pickup
D-1006,2024-09-17,13:45 PM,MeatZZa,Non-Veg,XL,1,19.99,19.99,Downtown,Delivery
D-1007,2024-09-17,14:05 PM,Cheese n Corn,Veg,Medium,2,10.99,21.98,City Center,Delivery
D-1008,2024-09-17,14:20 PM,Peppy Paneer,Veg,Large,1,15.99,15.99,Suburbs-West,Pickup
D-1009,2024-09-17,14:55 PM,Chicken Dominator,Non-Veg,Large,2,17.99,35.98,City Center,Delivery
D-1010,2024-09-17,15:15 PM,ExtravaganZZa,Gourmet,Medium,1,16.99,16.99,Downtown,Delivery
D-1011,2024-09-17,15:40 PM,Margherita,Classic,Small,1,7.99,7.99,Suburbs-East,Pickup
D-1012,2024-09-17,16:00 PM,Mexican Green Wave,Veg,Large,1,15.99,15.99,Downtown,Delivery
